Date,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원,외래객입국사유_전체,외래객입국사유_관광,외래객입국사유_상용,외래객입국사유_공융,외래객입국사유_유학연수,외래객입국사유_기타,내국인출입국_전체,공항_인천,공항_김해,공항_김포,공항_제주,공항_기타,항구_부산,항구_인천,항구_제주,항구_기타,인구동태_조출생률(천명당),인구동태_조사망률(천명당),인구동태_자연증가율(천명당),인구동태_합계출산율(명),인구동태_출생성비(명),인구동태_영아사망률(출생아 천명당),인구동태_조혼인율(천명당),인구동태_조이혼율(천명당),인구동태_기대수명(출생시 기대여명),인구동태_기대수명(출생시 기대여명) - 남,인구동태_기대수명(출생시 기대여명) - 여,인구동태_출생아수(명),인구동태_사망자수(명),인구동태_혼인건수(건),인구동태_이혼건수(건),인구동태_자연증가건수(명),경제활동인구_원자료,경제활동인구_전기대비증감,경제활동인구_전년동기대비증감,경제활동인구_이동평균(3기간),  실업률_원자료,  실업률_전기대비증감,  실업률_전년동기대비증감,  실업률_이동평균(3기간),15세이상인구_원자료,15세이상인구_전기대비증감,15세이상인구_전년동기대비증감,15세이상인구_이동평균(3기간),비경제활동인구_원자료,비경제활동인구_전기대비증감,비경제활동인구_전년동기대비증감,비경제활동인구_이동평균(3기간),경제활동참가율_원자료,경제활동참가율_전기대비증감,경제활동참가율_전년동기대비증감,경제활동참가율_이동평균(3기간),고용률_원자료,고용률_전기대비증감,고용률_전년동기대비증감,고용률_이동평균(3기간),총지수_원자료,총지수_전기대비증감,총지수_전년동기대비증감,총지수_이동평균(3기간),    운송장비_원자료,    운송장비_전기대비증감,    운송장비_전년동기대비증감,    운송장비_이동평균(3기간),    개인운송장비 운영_원자료,    개인운송장비 운영_전기대비증감,    개인운송장비 운영_전년동기대비증감,    개인운송장비 운영_이동평균(3기간),      철도 여객수송_원자료,      철도 여객수송_전기대비증감,      철도 여객수송_전년동기대비증감,      철도 여객수송_이동평균(3기간),      도로 여객수송_원자료,      도로 여객수송_전기대비증감,      도로 여객수송_전년동기대비증감,      도로 여객수송_이동평균(3기간),      항공 및 수상여객운송_원자료,      항공 및 수상여객운송_전기대비증감,      항공 및 수상여객운송_전년동기대비증감,      항공 및 수상여객운송_이동평균(3기간),      기타 여객운송_원자료,      기타 여객운송_전기대비증감,      기타 여객운송_전년동기대비증감,      기타 여객운송_이동평균(3기간),소비자심리지수_원자료,소비자심리지수_전기대비증감,소비자심리지수_전년동기대비증감,소비자심리지수_이동평균(3기간),news_count_ktx,news_fare_up,news_fare_down,news_accident,covid_dummy
2015-01-01,34020,1741181,1871129,496684.4938,37822.85989,533787.0925,15.05479435,183.879705,9.691638546,0,218,0,6,212,84,84,154,1991,13164.71383,917054,723255,17686,3094,7752,165267,1834538,1389993,226687,103088,4408,28329,50545,7553,24,23911,8.6,5.4,3.2,1.239,105.3,2.7,5.9,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,26380,-188,439,26540,3.7,0.4,0.3,3.8,43040,36,470,43042,16660,224,31,16502,61.3,-0.5,0.4,61.7,59.0,-0.7,0.2,59.3,94.643,0.637,0.913,94.4,101.336,0.534,-0.012,100.9,106.239,-8.126,-20.973,107.6,91.619,1.981,1.981,91.0,85.896,0.124,0.403,85.9,98.721,-1.15,-8.58,97.7,90.656,0.873,5.156,90.7,103.2,1.5,-7.0,102.9,74,4,9,15,0
2015-02-01,28992,1488544,1533571,434612.9461,32762.0874,447295.7995,12.36134239,159.1958766,8.033689554,0,188,46,6,136,72,72,132,1705,10793.21324,1050706,815138,14354,2256,36399,182559,1445609,1102672,173950,86907,4132,13037,44152,4379,48,16332,8.541666667,5.408333333,3.141666667,1.233416667,105.275,2.708333333,5.866666667,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,26671,291,379,26630,4.5,0.8,0.0,4.1,43081,41,465,43079,16410,-250,86,16449,61.9,0.6,0.2,61.8,59.1,0.1,0.2,59.3,94.587,-0.056,0.607,94.6,100.706,-0.63,-0.493,100.8,102.071,-4.168,-24.853,104.6,91.619,0.0,1.981,91.6,85.896,0.0,0.308,85.9,94.413,-4.308,-8.978,94.1,91.516,0.86,3.118,91.3,103.9,0.7,-5.3,103.0,118,0,23,2,0
2015-03-01,31246,1607627,1780862,454810.9166,34157.90687,503277.6053,14.39953763,173.1093386,9.011709796,0,196,0,0,196,78,78,143,1837,12604.74251,1238144,958493,18549,3241,27129,230732,1416683,1072957,175351,86170,4276,12679,36822,6067,77,22284,8.483333333,5.416666667,3.083333333,1.227833333,105.25,2.716666667,5.833333333,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,26840,169,352,26905,4.0,-0.5,0.1,4.1,43117,36,461,43118,16277,-133,109,16213,62.2,0.3,0.1,62.4,59.8,0.7,0.1,59.8,94.596,0.009,0.443,94.6,100.405,-0.301,-0.476,100.4,105.515,3.444,-21.49,104.4,91.619,0.0,1.981,91.6,85.896,0.0,0.271,85.9,89.082,-5.331,-11.634,91.5,91.589,0.073,3.858,91.6,102.0,-1.9,-7.7,103.6,76,1,18,6,0
2015-04-01,28848,1491483,1681821,424444.3546,31774.29779,478264.4959,13.52845367,160.2953867,8.596620007,0,195,0,0,195,72,72,132,1656,12186.13034,1384567,1112904,17326,4913,5556,243868,1495460,1108944,195851,85345,4155,24129,46589,7623,106,22718,8.425,5.425,3.025,1.22225,105.225,2.725,5.8,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,27204,364,186,27166,3.9,-0.1,0.1,3.9,43157,40,460,43156,15953,-324,274,15990,63.0,0.8,-0.3,62.9,60.6,0.8,-0.3,60.5,94.625,0.029,0.411,94.7,100.135,-0.27,-1.094,100.2,105.494,-0.021,-20.925,106.0,91.619,0.0,1.981,91.6,85.896,0.0,0.271,85.9,91.062,1.98,-11.466,91.2,91.571,-0.018,3.741,91.5,104.9,2.9,-4.8,104.4,80,2,18,15,0
2015-05-01,36102,1863967,2144330,531982.0939,40218.49724,611756.68,17.25137877,198.4818646,11.11625345,0,250,0,4,246,90,90,165,2072,15522.61846,1334212,1060730,19010,4679,9222,240571,1579265,1172061,199356,88510,5786,26565,54680,10326,152,21829,8.366666667,5.433333333,2.966666667,1.216666667,105.2,2.733333333,5.766666667,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,27453,249,387,27382,3.7,-0.2,0.2,3.8,43194,37,453,43194,15741,-212,67,15813,63.6,0.6,0.3,63.4,61.2,0.6,0.1,61.0,94.89,0.265,0.521,94.8,100.085,-0.05,-1.383,100.0,107.005,1.511,-19.0,107.1,91.619,0.0,1.981,91.6,85.896,0.0,0.271,85.9,93.559,2.497,-9.548,92.8,91.461,-0.11,3.567,91.4,106.3,1.4,1.0,103.3,73,17,20,22,0
2015-06-01,28888,1483393,1125689,435541.6216,32015.50981,329390.2799,9.10781223,163.266979,5.818152663,0,196,0,2,194,72,72,132,1658,8147.660548,750925,517926,12347,3122,11462,206068,1373551,1048204,165805,73846,3688,16427,36952,8323,189,20117,8.308333333,5.441666667,2.908333333,1.211083333,105.175,2.741666667,5.733333333,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,27488,35,357,27492,3.8,0.1,0.3,3.7,43232,38,449,43230,15744,3,92,15738,63.6,0.0,0.2,63.6,61.2,0.0,0.0,61.2,94.909,0.019,0.661,95.0,99.725,-0.36,-1.653,99.9,108.738,1.733,-16.453,108.0,91.619,0.0,1.981,94.3,85.896,0.0,0.271,87.5,93.671,0.112,-9.977,96.1,91.278,-0.183,3.292,91.4,98.8,-7.5,-9.3,102.0,60,1,11,2,0
2015-07-01,31254,1609540,1549797,469603.3074,35028.81259,451694.9635,12.51588391,174.3239301,8.100472982,0,250,0,0,250,78,78,143,1794,11230.65033,629737,419430,12867,3734,8477,185229,1675332,1285585,200675,90832,2387,19175,45586,9222,111,21759,8.25,5.45,2.85,1.2055,105.15,2.75,5.7,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,27536,48,342,27439,3.6,-0.2,0.2,3.6,43265,33,445,43264,15730,-14,104,15826,63.6,0.0,0.1,63.4,61.3,0.1,-0.1,61.1,95.08,0.171,0.694,95.1,99.875,0.15,-1.463,100.0,108.307,-0.431,-16.62,107.8,99.513,7.894,9.875,96.9,90.653,4.757,5.028,89.2,101.179,7.508,-7.992,98.9,91.315,0.037,3.499,91.4,100.9,2.1,-4.7,100.6,61,1,17,9,0
2015-08-01,32964,1677929,1773664,521993.0603,37907.38596,551666.3294,14.79931294,192.852962,9.763416256,0,279,0,1,278,84,84,154,1932,12853.02722,1069314,730808,17385,4207,46365,270549,1835249,1381206,229054,98274,4917,29865,58726,10473,204,22530,8.191666667,5.458333333,2.791666667,1.199916667,105.125,2.758333333,5.666666667,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,27294,-242,217,27395,3.4,-0.2,0.1,3.4,43296,31,435,43296,16003,273,218,15902,63.0,-0.6,-0.2,63.2,60.9,-0.4,-0.2,61.1,95.213,0.133,0.662,95.1,100.425,0.55,-0.496,99.9,106.491,-1.816,-17.575,106.3,99.513,0.0,9.875,99.5,90.989,0.336,5.276,90.9,101.818,0.639,-8.511,98.0,91.58,0.265,3.338,91.6,102.2,1.3,-5.3,102.2,59,0,35,4,0
2015-09-01,28394,1461774,1585350,435359.2359,31106.57688,471392.2409,12.99768714,167.9800623,8.210679623,3,246,51,9,189,72,72,132,1674,11353.78074,1206764,907874,16514,4442,20035,257899,1511657,1150899,184773,84994,4355,19918,40296,7356,177,18889,8.133333333,5.466666667,2.733333333,1.194333333,105.1,2.766666667,5.633333333,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,27355,61,291,27336,3.2,-0.2,0.1,3.2,43328,32,431,43327,15973,-30,140,15991,63.1,0.1,0.0,63.1,61.1,0.2,0.0,61.1,94.966,-0.247,0.476,95.0,99.324,-1.101,-1.656,99.8,104.213,-2.278,-18.062,104.6,99.513,0.0,9.875,99.5,90.989,0.0,5.276,91.0,91.119,-10.699,-12.406,94.7,91.763,0.183,2.96,91.7,103.5,1.3,-4.9,103.9,98,4,59,10,0
2015-10-01,32772,1681522,1939094,513922.9053,36892.95624,592221.4932,16.14403921,195.0836976,10.35829532,0,292,0,0,292,84,84,154,1931,14057.73647,1383704,1076153,18270,5404,7929,275948,1735308,1289621,233248,94559,5801,30776,51427,7213,276,22387,8.075,5.475,2.675,1.18875,105.075,2.775,5.6,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,27358,3,250,27337,3.1,-0.1,-0.1,3.1,43357,29,428,43357,15998,25,177,16020,63.1,0.0,0.0,63.0,61.2,0.1,0.1,61.1,94.966,0.0,0.761,94.9,99.785,0.461,-1.156,99.6,103.184,-1.029,-17.335,103.1,99.513,0.0,9.875,99.5,90.989,0.0,5.217,91.0,91.306,0.187,-10.938,90.3,91.864,0.101,2.897,91.8,106.1,2.6,0.5,105.4,34,0,7,8,0
2015-11-01,30452,1570589,1900348,476268.1277,34159.61192,576152.7898,15.72867568,181.2834914,10.07049651,0,283,0,0,283,78,78,143,1793,13776.33378,1150074,911647,17211,5717,10109,205390,1626063,1202912,229941,90884,4738,21528,48958,6895,74,20133,8.016666667,5.483333333,2.616666667,1.183166667,105.05,2.783333333,5.566666667,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,27298,-60,216,27207,3.0,-0.1,0.0,3.1,43386,29,419,43387,16088,90,202,16180,62.9,-0.2,-0.1,62.7,61.0,-0.2,-0.1,60.8,94.786,-0.18,0.771,94.9,99.685,-0.1,-0.818,99.8,102.018,-1.166,-15.895,101.9,99.513,0.0,9.875,99.5,90.989,0.0,5.217,91.0,88.604,-2.702,-9.862,90.5,91.864,0.0,2.585,91.9,106.7,0.6,3.3,105.4,128,2,51,35,0
2015-12-01,28076,1444946,1588373,435578.031,31497.72114,478691.4412,13.18756675,166.0179374,8.423611462,0,249,0,0,249,72,72,132,1654,11521.17551,1116450,901131,13806,3460,12273,185780,1781715,1324841,262802,95942,5099,16124,46732,7089,76,23010,7.958333333,5.491666667,2.558333333,1.177583333,105.025,2.791666667,5.533333333,2.1,82.1,79.0,85.2,36535.0,22991.25,25235.66667,9096.083333,13543.75,26965,-333,397,26965,3.2,0.2,-0.1,3.3,43418,32,414,43414,16453,365,17,16450,62.1,-0.8,0.3,62.1,60.1,-0.9,0.4,60.0,95.07,0.284,1.064,95.0,99.785,0.1,-1.017,100.3,100.601,-1.417,-13.764,100.2,99.513,0.0,9.875,99.5,91.122,0.133,5.35,91.2,91.672,3.068,-8.199,91.1,92.075,0.211,2.292,92.0,103.3,-3.4,1.6,103.5,30,4,14,1,0
